id,group,learner,statistic,action_mode,human_arm,machine_arm,n_seeds_human,n_seeds_machine,episodes_per_seed,human_counts,machine_counts,human_rate,machine_rate,delta,perm_p,perm_exact,mde_80,ci_lo,ci_hi,sd_human,sd_machine,p_rope,p_gt0,bf01,post_mean,post_lo,post_hi,prior_flip,verdict,status,provisional,note,source,bank_stamp,evaluator,dead_human,dead_machine,rescored_from,rescore_in_flight,incomplete_cells,incomplete_detail,seed_shortfall,withdrawn,effect_size_only,prior_range
carry_r2d_push_asrecorded,Carrycontact (matched 21),world model (r2dreamer),contact_push,mode,dH (21),dDP_n21 (21),8,8,148,81 27 38 35 46 43 45 23,24 48 32 33 50 20 50 39,0.2855,0.25,0.0355,0.5456,exact,0.1529,-0.0734,0.1443,0.1197,0.0792,0.8982,0.6896,31.68,0.0322,-0.0737,0.1366,"FLIPS: primary=out, sep_sigma=out, tight=in, wide=out",inconclusive (prior-sensitive),PROVISIONAL,"SUPERSEDED by the pinned re-score, which has landed at 8 v 8; kept only so the correction is visible.",The discriminating contact predicate on the carrycontact scope.,cluster:wm + cluster:wm,UNSTAMPED,wm/eval_genesis.py,0,0,,,0,,,,False,0.848-0.909
contact_dp,Contact (matched 11),Diffusion Policy,contact_push,sampled,dH sub-floor (11),dDP_n11 (11),0,0,,,,,,,,,,,,,,,,,,,,,Not run. The contact phase was never submitted for DP or RLPD; the 32 slide/contact runs are HELD on the predicate decision (PHASE_PLAN (p)). No per-seed data on the cluster for this cell.,EMPTY,,,,,,0,0,,,0,,,,False,
contact_rlpd,Contact (matched 11),RLPD,contact_push,mode,dH sub-floor (11),dDP_n11 (11),0,0,,,,,,,,,,,,,,,,,,,,,Not run (same hold as contact_dp). No per-seed data on the cluster for this cell.,EMPTY,,,,,,0,0,,,0,,,,False,
e2e_picked,End-to-end (rnd30),world model (r2dreamer),picked,mode,dHfull_all (74),"dDPfull (best-per-IC, 72)",8,8,30,8 18 18 18 18 9 11 18,14 10 22 14 19 19 15 16,0.4917,0.5375,-0.0458,0.5535,exact,0.2098,-0.1952,0.1035,0.152,0.1253,0.7827,0.2152,12.93,-0.0445,-0.1852,0.0949,stable,INCONCLUSIVE (underpowered),OK,,Stage 1 of the full task.,cluster:wm + cluster:wm,UNSTAMPED,wm/eval_genesis.py,0,0,e2e_picked_asrecorded,,0,,,,False,0.767-0.805
e2e_picked_asrecorded,End-to-end (rnd30),world model (r2dreamer),picked,mode,dHfull_all (74),"dDPfull (best-per-IC, 72)",8,8,30,8 18 19 19 18 9 11 18,14 10 22 14 19 19 15 16,0.5,0.5375,-0.0375,0.6429,exact,0.2159,-0.1912,0.1162,0.1594,0.1253,0.7955,0.2568,13.97,-0.0364,-0.1805,0.1098,stable,INCONCLUSIVE (underpowered),PROVISIONAL,"SUPERSEDED by the pinned re-score, which has landed at 8 v 8; kept only so the correction is visible.",Stage 1 of the full task.,cluster:wm + cluster:wm,UNSTAMPED,wm/eval_genesis.py,0,0,,,0,,,,False,0.780-0.819
e2e_contact_push,End-to-end (rnd30),world model (r2dreamer),contact_push,mode,dHfull_all (74),"dDPfull (best-per-IC, 72)",8,8,30,3 6 12 6 1 6 4 11,5 6 11 5 5 4 11 4,0.2042,0.2125,-0.0083,0.9417,exact,0.1691,-0.1287,0.112,0.1253,0.0975,0.906,0.3719,34.59,-0.0121,-0.1305,0.104,"FLIPS: primary=in, sep_sigma=out, tight=in, wide=out",equivalent (PRIOR-SENSITIVE),OK,,The discriminating contact predicate on the full task.,cluster:wm + cluster:wm,UNSTAMPED,wm/eval_genesis.py,0,0,e2e_contact_push_asrecorded,,0,,,,False,0.881-0.924
e2e_contact_push_asrecorded,End-to-end (rnd30),world model (r2dreamer),contact_push,mode,dHfull_all (74),"dDPfull (best-per-IC, 72)",8,8,30,3 6 12 6 1 6 4 11,5 6 11 5 5 4 11 4,0.2042,0.2125,-0.0083,0.9417,exact,0.1691,-0.1287,0.112,0.1253,0.0975,0.906,0.3719,34.59,-0.0121,-0.1305,0.104,"FLIPS: primary=in, sep_sigma=out, tight=in, wide=out",equivalent (PRIOR-SENSITIVE),PROVISIONAL,"SUPERSEDED by the pinned re-score, which has landed at 8 v 8; kept only so the correction is visible.",The discriminating contact predicate on the full task.,cluster:wm + cluster:wm,UNSTAMPED,wm/eval_genesis.py,0,0,,,0,,,,False,0.881-0.924
e2e_nested_honest,End-to-end (rnd30),world model (r2dreamer),nested (honest),mode,dHfull_all (74),"dDPfull (best-per-IC, 72)",8,8,30,1 2 1 4 1 0 0 2,1 1 2 4 3 2 7 5,0.0458,0.1042,-0.0583,0.0867,exact,0.0877,-0.1208,0.0041,0.0434,0.07,0.9008,0.0235,32.59,-0.0592,-0.1298,0.0,"FLIPS: primary=in, sep_sigma=out, tight=in, wide=out",equivalent (PRIOR-SENSITIVE),OK,,"The HONEST settled predicate. The published end-to-end nested figure is the TRAINING PROXY, which over-counts roughly 2.5x; they are different quantities and must not share a row.",cluster:wm + cluster:wm,UNSTAMPED,wm/eval_genesis.py,0,0,e2e_nested_honest_asrecorded,,0,,,,False,0.870-0.921
e2e_nested_honest_asrecorded,End-to-end (rnd30),world model (r2dreamer),nested (honest),mode,dHfull_all (74),"dDPfull (best-per-IC, 72)",8,8,30,1 2 1 4 1 0 0 2,1 1 2 4 3 2 7 5,0.0458,0.1042,-0.0583,0.0867,exact,0.0877,-0.1208,0.0041,0.0434,0.07,0.9008,0.0235,32.59,-0.0592,-0.1298,0.0,"FLIPS: primary=in, sep_sigma=out, tight=in, wide=out",equivalent (PRIOR-SENSITIVE),PROVISIONAL,"SUPERSEDED by the pinned re-score, which has landed at 8 v 8; kept only so the correction is visible.","The HONEST settled predicate. The published end-to-end nested figure is the TRAINING PROXY, which over-counts roughly 2.5x; they are different quantities and must not share a row.",cluster:wm + cluster:wm,UNSTAMPED,wm/eval_genesis.py,0,0,,,0,,,,False,0.870-0.921
e2e_nested_proxy,End-to-end (rnd30),world model (r2dreamer),nested (training proxy),mode,dHfull_all (74),"dDPfull (best-per-IC, 72)",8,8,30,2 4 3 10 2 1 6 5,4 1 7 4 9 6 9 6,0.1375,0.1917,-0.0542,0.3001,exact,0.141,-0.1545,0.0462,0.0967,0.0904,0.8222,0.1053,16.6,-0.0555,-0.1594,0.0453,stable,inconclusive,PROVISIONAL,"Training proxy, not a task outcome. Shown only to quantify the gap against nested_honest; never cite it as a success rate.",,cluster:wm + cluster:wm,UNSTAMPED,wm/eval_genesis.py,0,0,e2e_nested_proxy_asrecorded,,0,,,,False,0.812-0.846
e2e_nested_proxy_asrecorded,End-to-end (rnd30),world model (r2dreamer),nested (training proxy),mode,dHfull_all (74),"dDPfull (best-per-IC, 72)",8,8,30,2 4 9 10 2 1 6 5,4 1 7 4 9 6 9 6,0.1625,0.1917,-0.0292,0.6211,exact,0.1521,-0.1374,0.0791,0.1105,0.0904,0.8854,0.2363,27.73,-0.0321,-0.1451,0.078,"FLIPS: primary=out, sep_sigma=out, tight=in, wide=out",inconclusive (prior-sensitive),PROVISIONAL,"Training proxy, not a task outcome. Shown only to quantify the gap against nested_honest; never cite it as a success rate. SUPERSEDED by the pinned re-score, which has landed at 8 v 8; kept only so the correction is visible.",,cluster:wm + cluster:wm,UNSTAMPED,wm/eval_genesis.py,0,0,,,0,,,,False,0.875-0.909
e2e_slide_success,End-to-end (rnd30),world model (r2dreamer),slide_success,mode,dHfull_all (74),"dDPfull (best-per-IC, 72)",8,8,30,2 0 0 4 1 0 1 2,0 0 0 0 1 1 1 1,0.0417,0.0167,0.025,,,0.0528,-0.0126,0.0626,0.0463,0.0178,,,,,,,,"Both arms on the floor; no p-value or ROPE is computed because a null here is an artefact of the floor, not evidence of equivalence.",FLOOR,,"TASK OUTCOME. No arm learns a true slide: both sit at 0-6 %. A null here is an artefact of the floor, so no p-value and no ROPE are computed.",cluster:wm + cluster:wm,UNSTAMPED,wm/eval_genesis.py,0,0,e2e_slide_success_asrecorded,,0,,,,False,
e2e_slide_success_asrecorded,End-to-end (rnd30),world model (r2dreamer),slide_success,mode,dHfull_all (74),"dDPfull (best-per-IC, 72)",8,8,30,2 0 0 4 1 0 1 2,0 0 0 0 1 1 1 1,0.0417,0.0167,0.025,,,0.0528,-0.0126,0.0626,0.0463,0.0178,,,,,,,,"Both arms on the floor; no p-value or ROPE is computed because a null here is an artefact of the floor, not evidence of equivalence.",FLOOR,"SUPERSEDED by the pinned re-score, which has landed at 8 v 8; kept only so the correction is visible.","TASK OUTCOME. No arm learns a true slide: both sit at 0-6 %. A null here is an artefact of the floor, so no p-value and no ROPE are computed.",cluster:wm + cluster:wm,UNSTAMPED,wm/eval_genesis.py,0,0,,,0,,,,False,
e2e_dp,End-to-end (rnd30),Diffusion Policy,picked,sampled,dHfull_all (74),dDPfull (72),0,0,,,,,,,,,,,,,,,,,,,,,"Runs queued, not landed. 32 e2e runs (e2e_dp_* / e2e_rlpd_*) sit PENDING at --nice=9000 behind the rest of the queue. No per-seed data on the cluster for this cell.",EMPTY,,,,,,0,0,,,0,,,,False,
e2e_rlpd,End-to-end (rnd30),RLPD,picked,mode,dHfull_all (74),dDPfull (72),0,0,,,,,,,,,,,,,,,,,,,,,"Runs queued, not landed (same batch as e2e_dp). The only e2e metrics on the cluster clone are smoke runs, which are excluded. No per-seed data on the cluster for this cell.",EMPTY,,,,,,0,0,,,0,,,,False,
